Meso_region_geo,State,Year,AP_ha,AC_ha,QP_ton,RMP_kgha,VP_pct
Metropolitana de Porto Alegre,RS,1992,14636,14636,12351,843,1.04
Sudoeste Rio-grandense,RS,1992,2505,2505,1727,689,0.14
Sudeste Rio-grandense,RS,1992,23020,23008,14919,648,0.76
Pantanais Sul Mato-grossense,MS,1992,5500,4780,3440,719,11.33
Centro Norte de Mato Grosso do Sul,MS,1992,4700,4288,3024,705,1.37
Leste de Mato Grosso do Sul,MS,1992,5148,4903,3049,621,1.36
Sudoeste de Mato Grosso do Sul,MS,1992,36942,32900,19151,582,5.13
Norte Mato-grossense,MT,1992,21326,20954,9866,470,0.93
Nordeste Mato-grossense,MT,1992,3303,2553,1328,520,0.68
Sudoeste Mato-grossense,MT,1992,20974,20955,11722,559,5.79
Centro-Sul Mato-grossense,MT,1992,4137,4137,1969,475,1.3
Sudeste Mato-grossense,MT,1992,3824,3572,3643,1019,0.54
Noroeste Goiano,GO,1992,4679,4679,4290,916,6.54
Norte Goiano,GO,1992,4979,4320,3621,838,13.73
Centro Goiano,GO,1992,100127,99416,63989,643,18.06
Leste Goiano,GO,1992,21403,18438,11513,624,6.73
Sul Goiano,GO,1992,20401,20151,29883,1482,4.26
Distrito Federal,DF,1992,6489,6489,6858,1056,5.81
Madeira-Guaporé,RO,1993,3412,3412,1301,381,4.32
Leste Rondoniense,RO,1993,150373,150373,83864,557,14.76
Vale do Juruá,AC,1993,1668,1578,873,553,6.16
Vale do Acre,AC,1993,15746,14898,10048,674,11.46
Norte Amazonense,AM,1993,35,35,49,1400,0.4
Sudoeste Amazonense,AM,1993,393,374,485,1296,1.67
Centro Amazonense,AM,1993,801,798,757,948,0.71
Sul Amazonense,AM,1993,1101,1085,875,806,10.73
Norte de Roraima,RR,1993,0,0,0,0,0
Sul de Roraima,RR,1993,0,0,0,0,0
Baixo Amazonas,PA,1993,9244,8254,4698,569,4.56
Marajó,PA,1993,165,165,125,757,1.29
Metropolitana de Belém,PA,1993,735,735,393,534,2.7
Nordeste Paraense,PA,1993,23443,23390,16054,686,7.57
Sudoeste Paraense,PA,1993,6920,6920,5183,748,5.22
Sudeste Paraense,PA,1993,31910,31750,15265,480,7.41
Norte do Amapá,AP,1993,10,8,2,250,0.05
Sul do Amapá,AP,1993,102,90,36,400,0.22
Ocidental do Tocantins,TO,1993,7540,7540,3375,447,2.84
Oriental do Tocantins,TO,1993,3102,3102,2400,773,13.87
Norte Maranhense,MA,1993,11043,10960,5397,492,4.87
Oeste Maranhense,MA,1993,27548,27548,14292,518,7.63
Centro Maranhense,MA,1993,36753,36753,9820,267,10.1
Leste Maranhense,MA,1993,36021,35512,11194,315,9.87
Sul Maranhense,MA,1993,2917,2917,819,280,1.21
Norte Piauiense,PI,1993,33493,30714,6486,211,13.63
Centro-Norte Piauiense,PI,1993,83207,82420,9794,118,13.62
Sudoeste Piauiense,PI,1993,46222,36675,9092,247,9.96
Sudeste Piauiense,PI,1993,110542,69602,3361,48,9.31
